id	source	revision	profile	input	expected	current	candidate	mismatch
w3c-bare	W3C-DID-Core-1.0	2022-07-19	did	did:example:123456789abcdefghi	accept	accept	accept	none
w3c-url	W3C-DID-Core-1.0	2022-07-19	did-url	did:example:123456789abcdefghi/path?versionId=1#key-1	accept	accept	accept	none
w3c-msi-segments	W3C-DID-Core-1.0	2022-07-19	did	did:example:abc:def	accept	accept	accept	none
rfc-percent	RFC-3986	STD66	did-url	did:example:123/p%3Ath?qu%3Ary#fr%3Ag	accept	accept	accept	none
rfc-empty-query	RFC-3986	STD66	did-url	did:example:123?	accept	accept	accept	representation-normalization
rfc-empty-fragment	RFC-3986	STD66	did-url	did:example:123#	accept	accept	accept	representation-normalization
sdk-key	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:key:z6MkiTBz1ym	accept	accept	accept	none
sdk-midnight	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:midnight:undeployed:network:holder_1	accept	accept	accept	none
sdk-percent	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:example:alice%2Fmobile	accept	accept	accept	none
sdk-empty-query-fragment	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	did:example:alice?#	accept	accept	accept	representation-normalization
sdk-malformed-percent	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:example:alice%2	reject	reject	reject	none
sdk-non-ascii	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:example:álîce	reject	reject	reject	none
sdk-url-non-ascii	SDK-fuzz-corpus	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	did:example:alice/álîce	reject	reject	reject	none
sdk-trailing-colon	SDK-negative	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	did:example:abc:	reject	reject	accept	grammar
sdk-percent-plus	Generated-RFC-percent	STD66	did	did:example:a%+0b	reject	reject	accept	grammar
sdk-leading-space	Generated-boundary	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	<SP>did:example:123	reject	reject	reject	none
sdk-trailing-space	Generated-boundary	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	did:example:123<SP>	reject	reject	reject	none
sdk-surrounding-lines	Generated-boundary	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	<LF>did:example:123<CR><LF>	reject	reject	reject	none
sdk-did-limit	SDK-resource-policy	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	<DID_2048>	accept	accept	accept	none
sdk-did-over-limit	SDK-resource-policy	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did	<DID_2049>	reject	reject	accept	resource-limit
sdk-url-limit	SDK-resource-policy	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	<URL_4096>	accept	accept	accept	none
sdk-url-over-limit	SDK-resource-policy	9f0c2d7215d64dff6c3eee9844c5e049807fa0b4	did-url	<URL_4097>	reject	reject	accept	resource-limit
neoprism-canonical	NeoPRISM	d6ad1ecade80757f08da4f9101d14c2fb1a4d02b	did	did:prism:9bf36a6dd4090ad66e359a0c041e25662c3f84c00467e9a61eeba68477c8a595	accept	accept	accept	none
neoprism-url	NeoPRISM	d6ad1ecade80757f08da4f9101d14c2fb1a4d02b	did-url	did:example:123456789abcdefghi#key-1?service=abc	accept	accept	accept	none
neoprism-invalid-method	NeoPRISM	d6ad1ecade80757f08da4f9101d14c2fb1a4d02b	did	did:_______:abcdefghi	reject	reject	reject	none
midnight-method	midnight-did	42a8e4aca1c6043f7f2b73463fa3aa3cd3d48b06	did	did:midnight:testnet:c569622e7f33d2d020ba1cae242e6077268941327846d62d8cbf0cc923ae41f6	accept	accept	accept	none
midnight-mediator	midnight-did	42a8e4aca1c6043f7f2b73463fa3aa3cd3d48b06	did-url	did:example:mediator#key-1	accept	accept	accept	none
lace-holder	Lace-ID-Portal	804de0a9e58cf48ece3cc6c24b2245bb70bc80f1	did	did:midnight:testnet:0202020202020202020202020202020202020202020202020202020202020202	accept	accept	accept	none
oxid-holder	Oxid	183664aeca500c25d6d27a22fa402b4d40c649d3	did-url	did:midnight:undeployed:holder#holder-jubjub-1	accept	accept	accept	none
oxid-synthetic	Oxid	183664aeca500c25d6d27a22fa402b4d40c649d3	did-url	did:example:synthetic-holder#assert	accept	accept	accept	none
