# source_repository=hyperledger-identus/sdk-rust
# source_revision=105308771dbebceb473b99d9eb82b0fa0178ab09
# generated_at=2026-09-15
error_type,variant,code_constant,constant_visibility,code,kind,capability,local_display,public_message,identus_display,source
PresentationError,InvalidQueryId,INVALID_QUERY_ID,public,presentation.invalid_query_id,InvalidInput,presentation,presentation query id is invalid,presentation query id is invalid,presentation.invalid_query_id: presentation query id is invalid,none
PresentationError,InvalidPurpose,INVALID_PURPOSE,public,presentation.invalid_purpose,InvalidInput,presentation,presentation purpose is invalid,presentation purpose is invalid,presentation.invalid_purpose: presentation purpose is invalid,none
PresentationError,InvalidChallenge,INVALID_CHALLENGE,public,presentation.invalid_challenge,InvalidInput,presentation,presentation challenge is invalid,presentation challenge is invalid,presentation.invalid_challenge: presentation challenge is invalid,none
PresentationError,InvalidCredentialHandle,INVALID_CREDENTIAL_HANDLE,public,presentation.invalid_credential_handle,InvalidInput,presentation,presentation credential handle is invalid,presentation credential handle is invalid,presentation.invalid_credential_handle: presentation credential handle is invalid,none
PresentationError,InvalidClaimIntent,INVALID_CLAIM_INTENT,public,presentation.invalid_claim_intent,InvalidInput,presentation,presentation claim intent is invalid,presentation claim intent is invalid,presentation.invalid_claim_intent: presentation claim intent is invalid,none
PresentationError,InvalidQueryFilters,INVALID_QUERY_FILTERS,public,presentation.invalid_query_filters,InvalidInput,presentation,presentation query filters are invalid,presentation query filters are invalid,presentation.invalid_query_filters: presentation query filters are invalid,none
PresentationError,DuplicateIssuerFilter,DUPLICATE_ISSUER_FILTER,public,presentation.duplicate_issuer_filter,InvalidInput,presentation,presentation query repeats an issuer filter,presentation query repeats an issuer filter,presentation.duplicate_issuer_filter: presentation query repeats an issuer filter,none
PresentationError,DuplicateTypeFilter,DUPLICATE_TYPE_FILTER,public,presentation.duplicate_type_filter,InvalidInput,presentation,presentation query repeats a credential type filter,presentation query repeats a credential type filter,presentation.duplicate_type_filter: presentation query repeats a credential type filter,none
PresentationError,DuplicateSchemaFilter,DUPLICATE_SCHEMA_FILTER,public,presentation.duplicate_schema_filter,InvalidInput,presentation,presentation query repeats a schema filter,presentation query repeats a schema filter,presentation.duplicate_schema_filter: presentation query repeats a schema filter,none
PresentationError,InvalidQueryClaims,INVALID_QUERY_CLAIMS,public,presentation.invalid_query_claims,InvalidInput,presentation,presentation query claim collection is invalid,presentation query claim collection is invalid,presentation.invalid_query_claims: presentation query claim collection is invalid,none
PresentationError,DuplicateQueryClaim,DUPLICATE_QUERY_CLAIM,public,presentation.duplicate_query_claim,InvalidInput,presentation,presentation query repeats a claim path,presentation query repeats a claim path,presentation.duplicate_query_claim: presentation query repeats a claim path,none
PresentationError,InvalidRequestQueries,INVALID_REQUEST_QUERIES,public,presentation.invalid_request_queries,InvalidInput,presentation,presentation request query collection is invalid,presentation request query collection is invalid,presentation.invalid_request_queries: presentation request query collection is invalid,none
PresentationError,DuplicateQueryId,DUPLICATE_QUERY_ID,public,presentation.duplicate_query_id,InvalidInput,presentation,presentation request repeats a query id,presentation request repeats a query id,presentation.duplicate_query_id: presentation request repeats a query id,none
PresentationError,InvalidCandidateClaims,INVALID_CANDIDATE_CLAIMS,public,presentation.invalid_candidate_claims,InvalidInput,presentation,presentation candidate claim collection is invalid,presentation candidate claim collection is invalid,presentation.invalid_candidate_claims: presentation candidate claim collection is invalid,none
PresentationError,DuplicateCandidateClaim,DUPLICATE_CANDIDATE_CLAIM,public,presentation.duplicate_candidate_claim,InvalidInput,presentation,presentation candidate repeats a claim path,presentation candidate repeats a claim path,presentation.duplicate_candidate_claim: presentation candidate repeats a claim path,none
PresentationError,InvalidCandidates,INVALID_CANDIDATES,public,presentation.invalid_candidates,InvalidInput,presentation,presentation candidate collection is invalid,presentation candidate collection is invalid,presentation.invalid_candidates: presentation candidate collection is invalid,none
PresentationError,DuplicateCandidate,DUPLICATE_CANDIDATE,public,presentation.duplicate_candidate,InvalidInput,presentation,presentation candidate is repeated,presentation candidate is repeated,presentation.duplicate_candidate: presentation candidate is repeated,none
PresentationError,UnknownCandidateQuery,UNKNOWN_CANDIDATE_QUERY,public,presentation.unknown_candidate_query,InvalidInput,presentation,presentation candidate references an unknown query,presentation candidate references an unknown query,presentation.unknown_candidate_query: presentation candidate references an unknown query,none
PresentationError,CandidateFormatMismatch,CANDIDATE_FORMAT_MISMATCH,public,presentation.candidate_format_mismatch,InvalidInput,presentation,presentation candidate format does not match its query,presentation candidate format does not match its query,presentation.candidate_format_mismatch: presentation candidate format does not match its query,none
PresentationError,CandidateUnrequestedClaim,CANDIDATE_UNREQUESTED_CLAIM,public,presentation.candidate_unrequested_claim,InvalidInput,presentation,presentation candidate contains an unrequested claim,presentation candidate contains an unrequested claim,presentation.candidate_unrequested_claim: presentation candidate contains an unrequested claim,none
PresentationError,CandidateMissingRequiredClaim,CANDIDATE_MISSING_REQUIRED_CLAIM,public,presentation.candidate_missing_required_claim,InvalidInput,presentation,presentation candidate omits a required claim,presentation candidate omits a required claim,presentation.candidate_missing_required_claim: presentation candidate omits a required claim,none
PresentationError,CandidateRequestMismatch,CANDIDATE_REQUEST_MISMATCH,public,presentation.candidate_request_mismatch,InvalidInput,presentation,presentation candidate set belongs to a different request,presentation candidate set belongs to a different request,presentation.candidate_request_mismatch: presentation candidate set belongs to a different request,none
PresentationError,InvalidSelectionClaims,INVALID_SELECTION_CLAIMS,public,presentation.invalid_selection_claims,InvalidInput,presentation,presentation selection claim collection is invalid,presentation selection claim collection is invalid,presentation.invalid_selection_claims: presentation selection claim collection is invalid,none
PresentationError,DuplicateSelectionClaim,DUPLICATE_SELECTION_CLAIM,public,presentation.duplicate_selection_claim,InvalidInput,presentation,presentation selection repeats a claim path,presentation selection repeats a claim path,presentation.duplicate_selection_claim: presentation selection repeats a claim path,none
PresentationError,InvalidDisclosureSelections,INVALID_DISCLOSURE_SELECTIONS,public,presentation.invalid_disclosure_selections,InvalidInput,presentation,presentation disclosure selection collection is invalid,presentation disclosure selection collection is invalid,presentation.invalid_disclosure_selections: presentation disclosure selection collection is invalid,none
PresentationError,DuplicateDisclosureSelection,DUPLICATE_DISCLOSURE_SELECTION,public,presentation.duplicate_disclosure_selection,InvalidInput,presentation,presentation disclosure repeats a credential selection,presentation disclosure repeats a credential selection,presentation.duplicate_disclosure_selection: presentation disclosure repeats a credential selection,none
PresentationError,UnknownSelectionQuery,UNKNOWN_SELECTION_QUERY,public,presentation.unknown_selection_query,InvalidInput,presentation,presentation selection references an unknown query,presentation selection references an unknown query,presentation.unknown_selection_query: presentation selection references an unknown query,none
PresentationError,UnknownSelectionCandidate,UNKNOWN_SELECTION_CANDIDATE,public,presentation.unknown_selection_candidate,InvalidInput,presentation,presentation selection references an unknown candidate,presentation selection references an unknown candidate,presentation.unknown_selection_candidate: presentation selection references an unknown candidate,none
PresentationError,SelectionUnrequestedClaim,SELECTION_UNREQUESTED_CLAIM,public,presentation.selection_unrequested_claim,InvalidInput,presentation,presentation selection contains an unrequested claim,presentation selection contains an unrequested claim,presentation.selection_unrequested_claim: presentation selection contains an unrequested claim,none
PresentationError,SelectionClaimIntentMismatch,SELECTION_CLAIM_INTENT_MISMATCH,public,presentation.selection_claim_intent_mismatch,InvalidInput,presentation,presentation selection claim intent does not match its query,presentation selection claim intent does not match its query,presentation.selection_claim_intent_mismatch: presentation selection claim intent does not match its query,none
PresentationError,SelectionUnavailableClaim,SELECTION_UNAVAILABLE_CLAIM,public,presentation.selection_unavailable_claim,InvalidInput,presentation,presentation selection contains an unavailable claim,presentation selection contains an unavailable claim,presentation.selection_unavailable_claim: presentation selection contains an unavailable claim,none
PresentationError,SelectionMissingRequiredClaim,SELECTION_MISSING_REQUIRED_CLAIM,public,presentation.selection_missing_required_claim,InvalidInput,presentation,presentation selection omits a required claim,presentation selection omits a required claim,presentation.selection_missing_required_claim: presentation selection omits a required claim,none
PresentationError,MissingQuerySelection,MISSING_QUERY_SELECTION,public,presentation.missing_query_selection,InvalidInput,presentation,presentation disclosure omits a query selection,presentation disclosure omits a query selection,presentation.missing_query_selection: presentation disclosure omits a query selection,none
PresentationError,QueryMultiplicityExceeded,QUERY_MULTIPLICITY_EXCEEDED,public,presentation.query_multiplicity_exceeded,InvalidInput,presentation,presentation disclosure exceeds query multiplicity,presentation disclosure exceeds query multiplicity,presentation.query_multiplicity_exceeded: presentation disclosure exceeds query multiplicity,none
PresentationError,DisclosureRequestMismatch,DISCLOSURE_REQUEST_MISMATCH,public,presentation.disclosure_request_mismatch,InvalidInput,presentation,presentation disclosure plan belongs to a different request,presentation disclosure plan belongs to a different request,presentation.disclosure_request_mismatch: presentation disclosure plan belongs to a different request,none
PresentationError,InvalidArtifactBindings,INVALID_ARTIFACT_BINDINGS,public,presentation.invalid_artifact_bindings,InvalidInput,presentation,presentation artifact binding collection is invalid,presentation artifact binding collection is invalid,presentation.invalid_artifact_bindings: presentation artifact binding collection is invalid,none
PresentationError,DuplicateArtifactBinding,DUPLICATE_ARTIFACT_BINDING,public,presentation.duplicate_artifact_binding,InvalidInput,presentation,presentation artifact repeats a selection binding,presentation artifact repeats a selection binding,presentation.duplicate_artifact_binding: presentation artifact repeats a selection binding,none
PresentationError,InvalidArtifactPayload,INVALID_ARTIFACT_PAYLOAD,public,presentation.invalid_artifact_payload,InvalidInput,presentation,presentation artifact payload is invalid,presentation artifact payload is invalid,presentation.invalid_artifact_payload: presentation artifact payload is invalid,none
PresentationError,InvalidGeneratedArtifacts,INVALID_GENERATED_ARTIFACTS,public,presentation.invalid_generated_artifacts,InvalidInput,presentation,generated presentation artifact collection is invalid,generated presentation artifact collection is invalid,presentation.invalid_generated_artifacts: generated presentation artifact collection is invalid,none
PresentationError,ArtifactPayloadBudgetExceeded,ARTIFACT_PAYLOAD_BUDGET_EXCEEDED,public,presentation.artifact_payload_budget_exceeded,InvalidInput,presentation,generated presentation artifact bytes exceed the budget,generated presentation artifact bytes exceed the budget,presentation.artifact_payload_budget_exceeded: generated presentation artifact bytes exceed the budget,none
PresentationError,UnknownArtifactSelection,UNKNOWN_ARTIFACT_SELECTION,public,presentation.unknown_artifact_selection,InvalidInput,presentation,presentation artifact references an unknown selection,presentation artifact references an unknown selection,presentation.unknown_artifact_selection: presentation artifact references an unknown selection,none
PresentationError,ArtifactFormatMismatch,ARTIFACT_FORMAT_MISMATCH,public,presentation.artifact_format_mismatch,InvalidInput,presentation,presentation artifact format does not match its selection,presentation artifact format does not match its selection,presentation.artifact_format_mismatch: presentation artifact format does not match its selection,none
PresentationError,DuplicateGeneratedArtifactBinding,DUPLICATE_GENERATED_ARTIFACT_BINDING,public,presentation.duplicate_generated_artifact_binding,InvalidInput,presentation,generated presentation repeats a selection binding,generated presentation repeats a selection binding,presentation.duplicate_generated_artifact_binding: generated presentation repeats a selection binding,none
PresentationError,MissingArtifactSelection,MISSING_ARTIFACT_SELECTION,public,presentation.missing_artifact_selection,InvalidInput,presentation,generated presentation omits a selection binding,generated presentation omits a selection binding,presentation.missing_artifact_selection: generated presentation omits a selection binding,none
PresentationError,InvalidLifecyclePhase,INVALID_LIFECYCLE_PHASE,public,presentation.invalid_lifecycle_phase,InvalidInput,presentation,presentation lifecycle phase is invalid,presentation lifecycle phase is invalid,presentation.invalid_lifecycle_phase: presentation lifecycle phase is invalid,none
PresentationError,InvalidTerminalOutcome,INVALID_TERMINAL_OUTCOME,public,presentation.invalid_terminal_outcome,InvalidInput,presentation,presentation terminal outcome is invalid,presentation terminal outcome is invalid,presentation.invalid_terminal_outcome: presentation terminal outcome is invalid,none
PresentationError,InvalidProtocolState,INVALID_PROTOCOL_STATE,public,presentation.invalid_protocol_state,InvalidInput,presentation,presentation protocol state is invalid,presentation protocol state is invalid,presentation.invalid_protocol_state: presentation protocol state is invalid,none
PresentationError,InvalidProtocolTransition,INVALID_PROTOCOL_TRANSITION,public,presentation.invalid_protocol_transition,InvalidInput,presentation,presentation protocol transition is invalid,presentation protocol transition is invalid,presentation.invalid_protocol_transition: presentation protocol transition is invalid,none
