# source_repository=hyperledger-identus/sdk-rust
# source_revision=c32c1c8cd0194466a8c7fbfaa8c050f4bf2971a1
# generated_at=2026-09-15
error_type,variant,code_constant,constant_visibility,code,kind,capability,local_display,public_message,identus_display,source
JoseError,InvalidLimits,INVALID_LIMITS,public,jose.invalid_limits,InvalidInput,jose,JWS limits are invalid,JWS limits are invalid,jose.invalid_limits: JWS limits are invalid,none
JoseError,CompactTooLarge,COMPACT_TOO_LARGE,public,jose.compact_too_large,InvalidInput,jose,JWS compact input is too large,JWS compact input is too large,jose.compact_too_large: JWS compact input is too large,none
JoseError,InvalidCompactStructure,INVALID_COMPACT_STRUCTURE,public,jose.invalid_compact_structure,InvalidInput,jose,JWS compact structure is invalid,JWS compact structure is invalid,jose.invalid_compact_structure: JWS compact structure is invalid,none
JoseError,NonCanonicalBase64Url,NON_CANONICAL_BASE64URL,public,jose.non_canonical_base64url,InvalidInput,jose,JWS segment encoding is invalid,JWS segment encoding is invalid,jose.non_canonical_base64url: JWS segment encoding is invalid,none
JoseError,ProtectedHeaderTooLarge,PROTECTED_HEADER_TOO_LARGE,public,jose.protected_header_too_large,InvalidInput,jose,JWS protected header is too large,JWS protected header is too large,jose.protected_header_too_large: JWS protected header is too large,none
JoseError,PayloadTooLarge,PAYLOAD_TOO_LARGE,public,jose.payload_too_large,InvalidInput,jose,JWS payload is too large,JWS payload is too large,jose.payload_too_large: JWS payload is too large,none
JoseError,SignatureTooLarge,SIGNATURE_TOO_LARGE,public,jose.signature_too_large,InvalidInput,jose,JWS signature is too large,JWS signature is too large,jose.signature_too_large: JWS signature is too large,none
JoseError,InvalidProtectedHeader,INVALID_PROTECTED_HEADER,public,jose.invalid_protected_header,InvalidInput,jose,JWS protected header is invalid,JWS protected header is invalid,jose.invalid_protected_header: JWS protected header is invalid,none
JoseError,DuplicateProtectedHeader,DUPLICATE_PROTECTED_HEADER,public,jose.duplicate_protected_header,InvalidInput,jose,JWS protected header repeats a member,JWS protected header repeats a member,jose.duplicate_protected_header: JWS protected header repeats a member,none
JoseError,UnknownProtectedHeader,UNKNOWN_PROTECTED_HEADER,public,jose.unknown_protected_header,InvalidInput,jose,JWS protected header member is unsupported,JWS protected header member is unsupported,jose.unknown_protected_header: JWS protected header member is unsupported,none
JoseError,MissingAlgorithm,MISSING_ALGORITHM,public,jose.missing_algorithm,InvalidInput,jose,JWS protected header algorithm is missing,JWS protected header algorithm is missing,jose.missing_algorithm: JWS protected header algorithm is missing,none
JoseError,InvalidHeaderValue,INVALID_HEADER_VALUE,public,jose.invalid_header_value,InvalidInput,jose,JWS protected header value is invalid,JWS protected header value is invalid,jose.invalid_header_value: JWS protected header value is invalid,none
JoseError,AmbiguousKeyReference,AMBIGUOUS_KEY_REFERENCE,public,jose.ambiguous_key_reference,InvalidInput,jose,JWS protected header key reference is ambiguous,JWS protected header key reference is ambiguous,jose.ambiguous_key_reference: JWS protected header key reference is ambiguous,none
JoseError,EmptySignature,EMPTY_SIGNATURE,public,jose.empty_signature,InvalidInput,jose,JWS signature is empty,JWS signature is empty,jose.empty_signature: JWS signature is empty,none
JoseError,SizeOverflow,SIZE_OVERFLOW,public,jose.size_overflow,InvalidInput,jose,JWS size is invalid,JWS size is invalid,jose.size_overflow: JWS size is invalid,none
JoseError,UnsupportedAlgorithm,UNSUPPORTED_ALGORITHM,public,jose.unsupported_algorithm,Unsupported,jose,JWS algorithm is unsupported,JWS algorithm is unsupported,jose.unsupported_algorithm: JWS algorithm is unsupported,none
JoseError,AlgorithmMismatch,ALGORITHM_MISMATCH,public,jose.algorithm_mismatch,InvalidInput,jose,JWS algorithm binding does not match,JWS algorithm binding does not match,jose.algorithm_mismatch: JWS algorithm binding does not match,none
JoseError,InvalidVerificationKey,INVALID_VERIFICATION_KEY,public,jose.invalid_verification_key,InvalidInput,jose,JWS verification key is invalid,JWS verification key is invalid,jose.invalid_verification_key: JWS verification key is invalid,none
JoseError,InvalidRegistryCapacity,INVALID_REGISTRY_CAPACITY,public,jose.invalid_registry_capacity,InvalidInput,jose,JWS signature registry capacity is invalid,JWS signature registry capacity is invalid,jose.invalid_registry_capacity: JWS signature registry capacity is invalid,none
JoseError,RegistryFull,REGISTRY_FULL,public,jose.registry_full,InvalidInput,jose,JWS signature registry is full,JWS signature registry is full,jose.registry_full: JWS signature registry is full,none
JoseError,DuplicateAlgorithm,DUPLICATE_ALGORITHM,public,jose.duplicate_algorithm,InvalidInput,jose,JWS signature algorithm is already registered,JWS signature algorithm is already registered,jose.duplicate_algorithm: JWS signature algorithm is already registered,none
JoseError,AlgorithmNotAllowed,ALGORITHM_NOT_ALLOWED,public,jose.algorithm_not_allowed,Unsupported,jose,JWS signature algorithm is not allowed,JWS signature algorithm is not allowed,jose.algorithm_not_allowed: JWS signature algorithm is not allowed,none
JoseError,InvalidSignatureLength,INVALID_SIGNATURE_LENGTH,public,jose.invalid_signature_length,InvalidInput,jose,JWS signature length is invalid,JWS signature length is invalid,jose.invalid_signature_length: JWS signature length is invalid,none
JoseError,SigningRejected,SIGNING_REJECTED,public,jose.signing_rejected,Crypto,jose,JWS signing operation was rejected,JWS signing operation was rejected,jose.signing_rejected: JWS signing operation was rejected,none
JoseError,SignerUnavailable,SIGNER_UNAVAILABLE,public,jose.signer_unavailable,Crypto,jose,JWS signer is unavailable,JWS signer is unavailable,jose.signer_unavailable: JWS signer is unavailable,none
JoseError,SignatureInvalid,SIGNATURE_INVALID,public,jose.signature_invalid,VerificationFailed,jose,JWS signature verification failed,JWS signature verification failed,jose.signature_invalid: JWS signature verification failed,none
JoseError,InvalidProofClaims,INVALID_PROOF_CLAIMS,public,jose.invalid_proof_claims,InvalidInput,jose,OID4VCI proof JWT claims are invalid,OID4VCI proof JWT claims are invalid,jose.invalid_proof_claims: OID4VCI proof JWT claims are invalid,none
JoseError,InvalidProofType,INVALID_PROOF_TYPE,public,jose.invalid_proof_type,InvalidInput,jose,OID4VCI proof JWT type is invalid,OID4VCI proof JWT type is invalid,jose.invalid_proof_type: OID4VCI proof JWT type is invalid,none
JoseError,MissingProofKeyReference,MISSING_PROOF_KEY_REFERENCE,public,jose.missing_proof_key_reference,InvalidInput,jose,OID4VCI proof JWT key reference is missing,OID4VCI proof JWT key reference is missing,jose.missing_proof_key_reference: OID4VCI proof JWT key reference is missing,none
JoseError,UnsupportedProofKeyReference,UNSUPPORTED_PROOF_KEY_REFERENCE,public,jose.unsupported_proof_key_reference,Unsupported,jose,OID4VCI proof JWT key reference is unsupported,OID4VCI proof JWT key reference is unsupported,jose.unsupported_proof_key_reference: OID4VCI proof JWT key reference is unsupported,none
JoseError,ProofKeyResolutionFailed,PROOF_KEY_RESOLUTION_FAILED,public,jose.proof_key_resolution_failed,VerificationFailed,jose,OID4VCI proof JWT key resolution failed,OID4VCI proof JWT key resolution failed,jose.proof_key_resolution_failed: OID4VCI proof JWT key resolution failed,none
JoseError,ProofKeyNotAuthorized,PROOF_KEY_NOT_AUTHORIZED,public,jose.proof_key_not_authorized,VerificationFailed,jose,OID4VCI proof JWT key is not authorized,OID4VCI proof JWT key is not authorized,jose.proof_key_not_authorized: OID4VCI proof JWT key is not authorized,none
JoseError,X5cProviderRequired,X5C_PROVIDER_REQUIRED,public,jose.x5c_provider_required,InvalidInput,jose,OID4VCI proof JWT certificate provider is required,OID4VCI proof JWT certificate provider is required,jose.x5c_provider_required: OID4VCI proof JWT certificate provider is required,none
JoseError,X5cRejected,X5C_REJECTED,public,jose.x5c_rejected,VerificationFailed,jose,OID4VCI proof JWT certificate chain was rejected,OID4VCI proof JWT certificate chain was rejected,jose.x5c_rejected: OID4VCI proof JWT certificate chain was rejected,none
JoseError,X5cProviderUnavailable,X5C_PROVIDER_UNAVAILABLE,public,jose.x5c_provider_unavailable,Internal,jose,OID4VCI proof JWT certificate provider is unavailable,OID4VCI proof JWT certificate provider is unavailable,jose.x5c_provider_unavailable: OID4VCI proof JWT certificate provider is unavailable,none
JoseError,InvalidProofEvidence,INVALID_PROOF_EVIDENCE,public,jose.invalid_proof_evidence,InvalidInput,jose,OID4VCI proof JWT trust evidence is invalid,OID4VCI proof JWT trust evidence is invalid,jose.invalid_proof_evidence: OID4VCI proof JWT trust evidence is invalid,none
JoseError,TrustChainProviderRequired,TRUST_CHAIN_PROVIDER_REQUIRED,public,jose.trust_chain_provider_required,InvalidInput,jose,OID4VCI proof JWT trust-chain provider is required,OID4VCI proof JWT trust-chain provider is required,jose.trust_chain_provider_required: OID4VCI proof JWT trust-chain provider is required,none
JoseError,TrustChainRejected,TRUST_CHAIN_REJECTED,public,jose.trust_chain_rejected,VerificationFailed,jose,OID4VCI proof JWT trust chain was rejected,OID4VCI proof JWT trust chain was rejected,jose.trust_chain_rejected: OID4VCI proof JWT trust chain was rejected,none
JoseError,TrustChainProviderUnavailable,TRUST_CHAIN_PROVIDER_UNAVAILABLE,public,jose.trust_chain_provider_unavailable,Internal,jose,OID4VCI proof JWT trust-chain provider is unavailable,OID4VCI proof JWT trust-chain provider is unavailable,jose.trust_chain_provider_unavailable: OID4VCI proof JWT trust-chain provider is unavailable,none
JoseError,KeyAttestationProviderRequired,KEY_ATTESTATION_PROVIDER_REQUIRED,public,jose.key_attestation_provider_required,InvalidInput,jose,OID4VCI proof JWT key-attestation validator is required,OID4VCI proof JWT key-attestation validator is required,jose.key_attestation_provider_required: OID4VCI proof JWT key-attestation validator is required,none
JoseError,KeyAttestationRejected,KEY_ATTESTATION_REJECTED,public,jose.key_attestation_rejected,VerificationFailed,jose,OID4VCI proof JWT key attestation was rejected,OID4VCI proof JWT key attestation was rejected,jose.key_attestation_rejected: OID4VCI proof JWT key attestation was rejected,none
JoseError,KeyAttestationProviderUnavailable,KEY_ATTESTATION_PROVIDER_UNAVAILABLE,public,jose.key_attestation_provider_unavailable,Internal,jose,OID4VCI proof JWT key-attestation validator is unavailable,OID4VCI proof JWT key-attestation validator is unavailable,jose.key_attestation_provider_unavailable: OID4VCI proof JWT key-attestation validator is unavailable,none
JoseError,InvalidProofPolicy,INVALID_PROOF_POLICY,public,jose.invalid_proof_policy,InvalidInput,jose,OID4VCI proof JWT policy is invalid,OID4VCI proof JWT policy is invalid,jose.invalid_proof_policy: OID4VCI proof JWT policy is invalid,none
JoseError,ProofClientMismatch,PROOF_CLIENT_MISMATCH,public,jose.proof_client_mismatch,VerificationFailed,jose,OID4VCI proof JWT client does not match,OID4VCI proof JWT client does not match,jose.proof_client_mismatch: OID4VCI proof JWT client does not match,none
JoseError,ProofAudienceMismatch,PROOF_AUDIENCE_MISMATCH,public,jose.proof_audience_mismatch,VerificationFailed,jose,OID4VCI proof JWT audience does not match,OID4VCI proof JWT audience does not match,jose.proof_audience_mismatch: OID4VCI proof JWT audience does not match,none
JoseError,ProofNonceMismatch,PROOF_NONCE_MISMATCH,public,jose.proof_nonce_mismatch,VerificationFailed,jose,OID4VCI proof JWT nonce does not match,OID4VCI proof JWT nonce does not match,jose.proof_nonce_mismatch: OID4VCI proof JWT nonce does not match,none
JoseError,ProofStale,PROOF_STALE,public,jose.proof_stale,VerificationFailed,jose,OID4VCI proof JWT is stale,OID4VCI proof JWT is stale,jose.proof_stale: OID4VCI proof JWT is stale,none
JoseError,ProofIssuedInFuture,PROOF_ISSUED_IN_FUTURE,public,jose.proof_issued_in_future,VerificationFailed,jose,OID4VCI proof JWT issuance time is in the future,OID4VCI proof JWT issuance time is in the future,jose.proof_issued_in_future: OID4VCI proof JWT issuance time is in the future,none
JoseError,ProofClockUnavailable,PROOF_CLOCK_UNAVAILABLE,public,jose.proof_clock_unavailable,Internal,jose,OID4VCI proof JWT clock is unavailable,OID4VCI proof JWT clock is unavailable,jose.proof_clock_unavailable: OID4VCI proof JWT clock is unavailable,none
JoseError,ProofReplayRejected,PROOF_REPLAY_REJECTED,public,jose.proof_replay_rejected,VerificationFailed,jose,OID4VCI proof JWT replay was rejected,OID4VCI proof JWT replay was rejected,jose.proof_replay_rejected: OID4VCI proof JWT replay was rejected,none
JoseError,ProofReplayUnavailable,PROOF_REPLAY_UNAVAILABLE,public,jose.proof_replay_unavailable,Internal,jose,OID4VCI proof JWT replay guard is unavailable,OID4VCI proof JWT replay guard is unavailable,jose.proof_replay_unavailable: OID4VCI proof JWT replay guard is unavailable,none
