# source_repository=hyperledger-identus/sdk-rust
# source_revision=6217384f85ff72003a7b94482bf7879f4587be02
# generated_at=2026-09-15
error_type,variant,code_constant,constant_visibility,code,kind,capability,local_display,public_message,identus_display,source
CredentialOfferError,InvalidLimits,INVALID_LIMITS,public,oid4vci.invalid_limits,InvalidInput,oid4vci,OID4VCI limits are invalid,OID4VCI limits are invalid,oid4vci.invalid_limits: OID4VCI limits are invalid,none
CredentialOfferError,InvocationTooLarge,INVOCATION_TOO_LARGE,public,oid4vci.invocation_too_large,InvalidInput,oid4vci,OID4VCI Credential Offer invocation is too large,OID4VCI Credential Offer invocation is too large,oid4vci.invocation_too_large: OID4VCI Credential Offer invocation is too large,none
CredentialOfferError,InvalidInvocation,INVALID_INVOCATION,public,oid4vci.invalid_invocation,InvalidInput,oid4vci,OID4VCI Credential Offer invocation is invalid,OID4VCI Credential Offer invocation is invalid,oid4vci.invalid_invocation: OID4VCI Credential Offer invocation is invalid,none
CredentialOfferError,UnsupportedTransport,UNSUPPORTED_TRANSPORT,public,oid4vci.unsupported_transport,Unsupported,oid4vci,OID4VCI Credential Offer transport is unsupported,OID4VCI Credential Offer transport is unsupported,oid4vci.unsupported_transport: OID4VCI Credential Offer transport is unsupported,none
CredentialOfferError,InvalidFormEncoding,INVALID_FORM_ENCODING,public,oid4vci.invalid_form_encoding,InvalidInput,oid4vci,OID4VCI Credential Offer encoding is invalid,OID4VCI Credential Offer encoding is invalid,oid4vci.invalid_form_encoding: OID4VCI Credential Offer encoding is invalid,none
CredentialOfferError,EmbeddedTooLarge,EMBEDDED_TOO_LARGE,public,oid4vci.embedded_too_large,InvalidInput,oid4vci,OID4VCI embedded Credential Offer is too large,OID4VCI embedded Credential Offer is too large,oid4vci.embedded_too_large: OID4VCI embedded Credential Offer is too large,none
CredentialOfferError,InvalidEmbeddedJson,INVALID_EMBEDDED_JSON,public,oid4vci.invalid_embedded_json,InvalidInput,oid4vci,OID4VCI JSON object is invalid,OID4VCI JSON object is invalid,oid4vci.invalid_embedded_json: OID4VCI JSON object is invalid,none
CredentialOfferError,DuplicateJsonProperty,DUPLICATE_JSON_PROPERTY,public,oid4vci.duplicate_json_property,InvalidInput,oid4vci,OID4VCI JSON object repeats a member,OID4VCI JSON object repeats a member,oid4vci.duplicate_json_property: OID4VCI JSON object repeats a member,none
CredentialOfferError,JsonTooDeep,JSON_TOO_DEEP,public,oid4vci.json_too_deep,InvalidInput,oid4vci,OID4VCI JSON object is too deep,OID4VCI JSON object is too deep,oid4vci.json_too_deep: OID4VCI JSON object is too deep,none
CredentialOfferError,JsonTooManyNodes,JSON_TOO_MANY_NODES,public,oid4vci.json_too_many_nodes,InvalidInput,oid4vci,OID4VCI JSON object has too many nodes,OID4VCI JSON object has too many nodes,oid4vci.json_too_many_nodes: OID4VCI JSON object has too many nodes,none
