# source_repository=hyperledger-identus/sdk-rust
# source_revision=707a5a22c3fad18724d5c5cac953e7387f7e49d8
# generated_at=2026-09-14
error_type,variant,code_constant,constant_visibility,code,kind,capability,local_display,public_message,identus_display,source
CredentialError,InvalidFormat,INVALID_FORMAT,public,credential.invalid_format,InvalidInput,credential,credential format is invalid,invalid credential format,credential.invalid_format: invalid credential format,none
CredentialError,EmptyPayload,EMPTY_PAYLOAD,public,credential.empty_payload,InvalidInput,credential,credential payload is empty,credential payload is empty,credential.empty_payload: credential payload is empty,none
CredentialError,PayloadTooLarge,PAYLOAD_TOO_LARGE,public,credential.payload_too_large,InvalidInput,credential,credential payload exceeds the size limit,credential payload exceeds the size limit,credential.payload_too_large: credential payload exceeds the size limit,none
CredentialError,EmptyDetachedProof,EMPTY_DETACHED_PROOF,public,credential.empty_detached_proof,InvalidInput,credential,credential detached proof is empty,credential detached proof is empty,credential.empty_detached_proof: credential detached proof is empty,none
CredentialError,DetachedProofTooLarge,DETACHED_PROOF_TOO_LARGE,public,credential.detached_proof_too_large,InvalidInput,credential,credential detached proof exceeds the size limit,credential detached proof exceeds the size limit,credential.detached_proof_too_large: credential detached proof exceeds the size limit,none
CredentialError,EmptyPrivateMaterial,EMPTY_PRIVATE_MATERIAL,public,credential.empty_private_material,InvalidInput,credential,credential private material is empty,credential private material is empty,credential.empty_private_material: credential private material is empty,none
CredentialError,PrivateMaterialTooLarge,PRIVATE_MATERIAL_TOO_LARGE,public,credential.private_material_too_large,InvalidInput,credential,credential private material exceeds the size limit,credential private material exceeds the size limit,credential.private_material_too_large: credential private material exceeds the size limit,none
CredentialError,InvalidVerificationStageName,INVALID_VERIFICATION_STAGE_NAME,public,credential.invalid_verification_stage_name,InvalidInput,credential,credential verification stage name is invalid,invalid credential verification stage name,credential.invalid_verification_stage_name: invalid credential verification stage name,none
CredentialError,InvalidVerificationReasonCode,INVALID_VERIFICATION_REASON_CODE,public,credential.invalid_verification_reason_code,InvalidInput,credential,credential verification reason code is invalid,invalid credential verification reason code,credential.invalid_verification_reason_code: invalid credential verification reason code,none
CredentialError,MissingVerificationReason,MISSING_VERIFICATION_REASON,public,credential.missing_verification_reason,InvalidInput,credential,credential verification reason is required,credential verification reason is required,credential.missing_verification_reason: credential verification reason is required,none
CredentialError,UnexpectedVerificationReason,UNEXPECTED_VERIFICATION_REASON,public,credential.unexpected_verification_reason,InvalidInput,credential,credential verification reason is not allowed,credential verification reason is not allowed,credential.unexpected_verification_reason: credential verification reason is not allowed,none
CredentialError,NonCanonicalVerificationReport,NON_CANONICAL_VERIFICATION_REPORT,public,credential.non_canonical_verification_report,InvalidInput,credential,credential verification report is not canonical,credential verification report is not canonical,credential.non_canonical_verification_report: credential verification report is not canonical,none
CredentialError,DuplicateCredentialVerifierFormat,DUPLICATE_CREDENTIAL_VERIFIER_FORMAT,public,credential.duplicate_verifier_format,InvalidInput,credential,credential verifier format is duplicated,credential verifier format is duplicated,credential.duplicate_verifier_format: credential verifier format is duplicated,none
CredentialError,TooManyCredentialVerifierFormats,TOO_MANY_CREDENTIAL_VERIFIER_FORMATS,public,credential.too_many_verifier_formats,InvalidInput,credential,credential verifier registry exceeds the format limit,credential verifier registry exceeds the format limit,credential.too_many_verifier_formats: credential verifier registry exceeds the format limit,none
CredentialError,InvalidEntityIdentifier,INVALID_ENTITY_IDENTIFIER,public,credential.invalid_entity_identifier,InvalidInput,credential,credential entity identifier is invalid,invalid credential entity identifier,credential.invalid_entity_identifier: invalid credential entity identifier,none
CredentialError,InvalidCredentialType,INVALID_CREDENTIAL_TYPE,public,credential.invalid_credential_type,InvalidInput,credential,credential type is invalid,invalid credential type,credential.invalid_credential_type: invalid credential type,none
CredentialError,InvalidSchemaIdentifier,INVALID_SCHEMA_IDENTIFIER,public,credential.invalid_schema_identifier,InvalidInput,credential,credential schema identifier is invalid,invalid credential schema identifier,credential.invalid_schema_identifier: invalid credential schema identifier,none
CredentialError,InvalidSchemaVersion,INVALID_SCHEMA_VERSION,public,credential.invalid_schema_version,InvalidInput,credential,credential schema version is invalid,invalid credential schema version,credential.invalid_schema_version: invalid credential schema version,none
CredentialError,InvalidClaimIdentifier,INVALID_CLAIM_IDENTIFIER,public,credential.invalid_claim_identifier,InvalidInput,credential,credential claim identifier is invalid,invalid credential claim identifier,credential.invalid_claim_identifier: invalid credential claim identifier,none
CredentialError,InvalidClaimValueType,INVALID_CLAIM_VALUE_TYPE,public,credential.invalid_claim_value_type,InvalidInput,credential,credential claim value type is invalid,invalid credential claim value type,credential.invalid_claim_value_type: invalid credential claim value type,none
CredentialError,InvalidClaimPathSegment,INVALID_CLAIM_PATH_SEGMENT,public,credential.invalid_claim_path_segment,InvalidInput,credential,credential claim path segment is invalid,invalid credential claim path segment,credential.invalid_claim_path_segment: invalid credential claim path segment,none
CredentialError,InvalidClaimPath,INVALID_CLAIM_PATH,public,credential.invalid_claim_path,InvalidInput,credential,credential claim path is invalid,invalid credential claim path,credential.invalid_claim_path: invalid credential claim path,none
CredentialError,InvalidClaimDisclosure,INVALID_CLAIM_DISCLOSURE,public,credential.invalid_claim_disclosure,InvalidInput,credential,credential claim disclosure is invalid,invalid credential claim disclosure,credential.invalid_claim_disclosure: invalid credential claim disclosure,none
CredentialError,InvalidDescriptorCollection,INVALID_DESCRIPTOR_COLLECTION,public,credential.invalid_descriptor_collection,InvalidInput,credential,credential descriptor collection is invalid,invalid credential descriptor collection,credential.invalid_descriptor_collection: invalid credential descriptor collection,none
CredentialError,DuplicateCredentialSubject,DUPLICATE_CREDENTIAL_SUBJECT,public,credential.duplicate_credential_subject,InvalidInput,credential,credential subject identifier is duplicated,credential subject identifier is duplicated,credential.duplicate_credential_subject: credential subject identifier is duplicated,none
CredentialError,DuplicateCredentialType,DUPLICATE_CREDENTIAL_TYPE,public,credential.duplicate_credential_type,InvalidInput,credential,credential type is duplicated,credential type is duplicated,credential.duplicate_credential_type: credential type is duplicated,none
CredentialError,DuplicateSchemaIdentifier,DUPLICATE_SCHEMA_IDENTIFIER,public,credential.duplicate_schema_identifier,InvalidInput,credential,credential schema identifier is duplicated,credential schema identifier is duplicated,credential.duplicate_schema_identifier: credential schema identifier is duplicated,none
CredentialError,DuplicateClaimIdentifier,DUPLICATE_CLAIM_IDENTIFIER,public,credential.duplicate_claim_identifier,InvalidInput,credential,credential claim identifier is duplicated,credential claim identifier is duplicated,credential.duplicate_claim_identifier: credential claim identifier is duplicated,none
CredentialError,DuplicateClaimPath,DUPLICATE_CLAIM_PATH,public,credential.duplicate_claim_path,InvalidInput,credential,credential claim path is duplicated,credential claim path is duplicated,credential.duplicate_claim_path: credential claim path is duplicated,none
CredentialError,InvalidValidityRange,INVALID_VALIDITY_RANGE,public,credential.invalid_validity_range,InvalidInput,credential,credential validity range is invalid,credential validity range is invalid,credential.invalid_validity_range: credential validity range is invalid,none
CredentialError,InvalidStatusMethod,INVALID_STATUS_METHOD,public,credential.invalid_status_method,InvalidInput,credential,credential status method is invalid,invalid credential status method,credential.invalid_status_method: invalid credential status method,none
CredentialError,InvalidStatusPurpose,INVALID_STATUS_PURPOSE,public,credential.invalid_status_purpose,InvalidInput,credential,credential status purpose is invalid,invalid credential status purpose,credential.invalid_status_purpose: invalid credential status purpose,none
CredentialError,InvalidStatusReference,INVALID_STATUS_REFERENCE,public,credential.invalid_status_reference,InvalidInput,credential,credential status reference is invalid,invalid credential status reference,credential.invalid_status_reference: invalid credential status reference,none
CredentialError,InvalidStatusHandle,INVALID_STATUS_HANDLE,public,credential.invalid_status_handle,InvalidInput,credential,credential status handle is invalid,invalid credential status handle,credential.invalid_status_handle: invalid credential status handle,none
CredentialError,InvalidStatusRevision,INVALID_STATUS_REVISION,public,credential.invalid_status_revision,InvalidInput,credential,credential status revision is invalid,invalid credential status revision,credential.invalid_status_revision: invalid credential status revision,none
CredentialError,InvalidStatusValue,INVALID_STATUS_VALUE,public,credential.invalid_status_value,InvalidInput,credential,credential status value is invalid,invalid credential status value,credential.invalid_status_value: invalid credential status value,none
CredentialError,InvalidStatusBindingCollection,INVALID_STATUS_BINDING_COLLECTION,public,credential.invalid_status_binding_collection,InvalidInput,credential,credential status binding collection is invalid,invalid credential status binding collection,credential.invalid_status_binding_collection: invalid credential status binding collection,none
CredentialError,DuplicateStatusBinding,DUPLICATE_STATUS_BINDING,public,credential.duplicate_status_binding,InvalidInput,credential,credential status binding is duplicated,credential status binding is duplicated,credential.duplicate_status_binding: credential status binding is duplicated,none
CredentialError,InvalidStatusFreshness,INVALID_STATUS_FRESHNESS,public,credential.invalid_status_freshness,InvalidInput,credential,credential status freshness is invalid,invalid credential status freshness,credential.invalid_status_freshness: invalid credential status freshness,none
CredentialError,InvalidStatusRequirements,INVALID_STATUS_REQUIREMENTS,public,credential.invalid_status_requirements,InvalidInput,credential,credential status requirements are invalid,invalid credential status requirements,credential.invalid_status_requirements: invalid credential status requirements,none
CredentialError,DuplicateStatusMethod,DUPLICATE_STATUS_METHOD,public,credential.duplicate_status_method,InvalidInput,credential,credential status method is duplicated,credential status method is duplicated,credential.duplicate_status_method: credential status method is duplicated,none
CredentialError,DuplicateStatusPurpose,DUPLICATE_STATUS_PURPOSE,public,credential.duplicate_status_purpose,InvalidInput,credential,credential status purpose is duplicated,credential status purpose is duplicated,credential.duplicate_status_purpose: credential status purpose is duplicated,none
CredentialError,InvalidStatusEvidenceRange,INVALID_STATUS_EVIDENCE_RANGE,public,credential.invalid_status_evidence_range,InvalidInput,credential,credential status evidence range is invalid,credential status evidence range is invalid,credential.invalid_status_evidence_range: credential status evidence range is invalid,none
CredentialError,StatusQueryMismatch,STATUS_QUERY_MISMATCH,public,credential.status_query_mismatch,InvalidInput,credential,credential status query binding is not accepted,credential status query binding is not accepted,credential.status_query_mismatch: credential status query binding is not accepted,none
CredentialVerificationError,UnsupportedFormat,VERIFICATION_UNSUPPORTED_FORMAT,private,credential.verification_unsupported_format,Unsupported,credential,credential verification format is unsupported,credential verification format is unsupported,credential.verification_unsupported_format: credential verification format is unsupported,none
CredentialVerificationError,Unavailable,VERIFICATION_UNAVAILABLE,private,credential.verification_unavailable,Internal,credential,credential verification is unavailable,credential verification is unavailable,credential.verification_unavailable: credential verification is unavailable,none
CredentialVerificationError,Internal,VERIFICATION_INTERNAL,private,credential.verification_internal,Internal,credential,credential verification failed internally,credential verification failed internally,credential.verification_internal: credential verification failed internally,none
